credit_score,dpd_12m,dpd_24m,active_loans_count,total_outstanding_inr,monthly_income,employment_type,employer_tier,job_tenure_years,requested_amount,loan_to_income_ratio,preferred_tenure_months,loan_purpose_encoded,existing_emi_monthly,total_obligations,foir_ratio,debt_to_income,geo_risk_score,ip_risk_score,device_risk_score,liveness_score,age_consistency_score,face_confidence_score,avg_response_latency_ms,hesitation_count,question_retry_count,extraction_confidence_avg,inconsistency_score,consent_confidence,prior_applications_count,prior_rejections_count,days_since_last_app,last_outcome_encoded,prior_risk_band_encoded,prior_loan_performance_encoded,application_velocity_30d,default
603,1,3,1,770577,92496,3,3,1.3288857040289428,882031,9.535882632762497,36,0,43863,43863,0.47968920973743345,0.6942435348555613,0.21342881296677257,0.411180521913217,0.7553614979282364,0.9740484959383454,0.7628970043740972,0.9822378215995711,3004,1,1,0.5837612815198087,0.8392542253701135,0.9576971321576145,0,0,128,4,2,1,0,1
627,3,4,2,1113041,115800,1,3,1.1279197644283072,819126,7.0736269430051815,24,4,38362,38362,0.2751945615730484,0.8009794185377087,0.09147411521530102,0.5679494996680116,0.38753639097664977,0.9928730783308187,0.6588984863183637,0.7880327699214563,848,2,2,0.7884629549957338,0.07883482725387271,0.635136386618955,4,0,44,0,1,3,0,0
633,1,4,0,330202,30433,1,3,2.8788086179082977,255850,8.406992409555416,24,4,11083,11083,0.41704756952956246,0.9041774827763721,0.6639988133474757,0.333571944283296,0.2669379773544271,0.8173339676269247,0.7625597894224179,0.815777696226963,1258,2,1,0.8775300454308101,0.4495059524691412,0.9658795554453256,2,0,17,0,0,3,0,1
565,0,3,4,272427,62194,3,2,1.187678492615515,377988,6.07756375213043,12,0,21567,21567,0.31423652025268417,0.3650231533588449,0.1413545135478235,0.1682405203171117,0.5088685546755483,0.8743626747022408,0.932367494680363,0.7562005885707865,3743,2,2,0.8911459631362774,0.3216658082841628,0.725904674580175,1,1,51,1,3,2,1,0
679,0,0,2,1078719,88706,1,1,0.5,661599,7.4583342727662165,12,1,35666,35666,0.4174699278020877,1.013384100286339,0.18060225871210706,0.3913212605012355,0.25295715181229383,0.7990572202013697,0.7698314492964902,0.7944977668760316,989,2,0,0.8783132415697629,0.06534699625458817,0.6024206035671009,3,0,98,2,4,1,1,0
726,0,1,1,597778,42042,1,4,5.297649038988438,228383,5.432258217972504,24,1,18253,18253,0.32205442563784176,1.1848825777397205,0.07797432105384997,0.2944103066869666,0.2415008463584335,0.9245570001093508,0.7078262424827987,0.944934237969117,4316,2,2,0.8701224547600677,0.6205942098229924,0.7258867056400616,0,2,195,2,1,2,1,0
655,0,2,2,1138892,114926,2,2,6.529791535109196,804155,6.9971546908445434,12,6,43833,43833,0.43227999955769875,0.8258154522620352,0.250250127156012,0.17152227443557808,0.40890582725379676,0.8035872841250271,0.8588375061425918,0.7679453136523071,3992,2,2,0.8980783770970374,0.6162539138417711,0.9435830025531765,5,3,206,2,5,3,0,0
721,0,3,5,356328,118815,3,1,4.562703768250684,1089729,9.1716449943189,12,6,15166,15166,0.0993087631984963,0.24991793965408407,0.1322286497391129,0.47759973833933467,0.02391235492521841,0.7504761878534407,0.5334141479099915,0.7691248500810404,3219,1,1,0.8967595221022826,0.22706701109949512,0.661620514286081,3,3,210,3,4,1,1,0
764,0,1,3,219872,17490,1,2,0.5,52501,3.001772441395083,24,7,8740,8740,0.5582512160309152,1.0476081570421194,0.2196406238148375,0.1313662457791369,0.19740094281008708,0.9744160955448999,0.8278408117440056,0.8212068146609397,2363,0,0,0.638370366950252,0.16504095214015935,0.7275940707907617,1,0,31,1,1,0,0,1
562,0,0,2,258657,45715,1,2,0.5,297544,6.508673301979656,36,3,5117,5117,0.17803015230534114,0.47150278901892156,0.2455099059664026,0.24417287595696477,0.23255725184705953,0.7797542316749255,0.8002901321287031,0.9432298594439914,2183,4,1,0.84610483075927,0.6519008293036113,0.6932081138715989,3,2,26,1,2,2,0,1
828,1,3,4,898132,38696,3,2,8.240932185804745,335779,8.67735683274757,24,4,11277,11277,0.32910698748866024,1.934162015023086,0.18918959987971826,0.21806170575313655,0.12364640580756935,0.9761082345293631,0.749399114172406,0.9512952756986378,647,1,1,0.912379672879176,0.16235143186959622,0.8933928233638103,2,1,60,2,0,2,1,1
610,1,3,3,295331,90042,1,1,2.497875979308505,600061,6.6642344683592105,24,0,36123,36123,0.47020082083298564,0.27332707699369924,0.12531399654053677,0.5589491022550902,0.33788784986686127,0.8770153125767742,0.7172474571662436,0.9290417920002849,2171,1,1,0.7549504765504433,0.427882205865067,0.42006224973774015,3,1,8,0,4,1,1,1
635,1,3,1,990749,80498,3,2,1.3857637780553067,336157,4.1759671047727895,48,4,25851,25851,0.2885764968836927,1.0256455646931186,0.4872316512676506,0.3909442227562324,0.06972093350712472,0.8554202241424568,0.6450791254410684,0.7570811728740064,1742,2,0,0.4900972837994086,0.1813500766019247,0.5663911621568988,2,1,34,1,5,0,0,0
684,1,4,0,1186901,20068,1,2,15.0,173360,8.638628662547339,48,0,5120,5120,0.25023333565071665,4.928663377848648,0.19254851408580387,0.02580958045723381,0.042698114355577334,0.9491035773186138,0.888691774577149,0.8857948696728044,3030,0,0,0.9054392229623284,0.335673754955542,0.5815397169885778,1,0,16,2,1,1,2,1
586,4,9,2,318638,89243,1,2,2.661639422726546,680274,7.622715507098596,36,1,21975,21975,0.28175928230887304,0.29753780875437474,0.48070854022452075,0.39233907543554875,0.14516892057934494,0.9082949480618188,0.23180202004018757,0.8338927172106361,3408,3,1,0.9326360304479859,0.1013058717102009,0.6298327331078839,1,1,60,2,5,2,1,0
801,0,2,1,233012,90520,1,2,15.0,853629,9.43028060097216,60,2,40766,40766,0.4194572095250171,0.2145124466048019,0.5539509833809769,0.5941534814317615,0.3880678613219125,0.8552843639289611,0.7352670238468688,0.7846912207223294,3819,2,1,0.8200546101653226,0.45548078205552917,0.43479829469193,4,0,4,1,3,1,2,0
