credit_score,dpd_12m,dpd_24m,active_loans_count,total_outstanding_inr,monthly_income,employment_type,employer_tier,job_tenure_years,requested_amount,loan_to_income_ratio,preferred_tenure_months,loan_purpose_encoded,existing_emi_monthly,total_obligations,foir_ratio,debt_to_income,geo_risk_score,ip_risk_score,device_risk_score,liveness_score,age_consistency_score,face_confidence_score,avg_response_latency_ms,hesitation_count,question_retry_count,extraction_confidence_avg,inconsistency_score,consent_confidence,prior_applications_count,prior_rejections_count,days_since_last_app,last_outcome_encoded,prior_risk_band_encoded,prior_loan_performance_encoded,application_velocity_30d,default
753,0,0,2,1014126,115917,2,3,11.244411390314363,742638,6.406635782499548,48,7,27381,27381,0.2198229682495365,0.7290604484243036,0.3025642100684122,0.1383246463297751,0.1775568097982192,0.761840565047108,0.7149380265503803,0.9980115337267688,1449,3,1,0.8474147207369405,0.5177594440111086,0.7540335517848868,3,2,187,4,2,1,4,0
663,2,5,0,743204,114056,1,3,12.876258466744028,588189,5.157019358911412,12,3,26777,26777,0.1893499714623244,0.543011035514718,0.1350715938209829,0.1323573707783714,0.1314538379933758,0.9096441553490884,0.8380971591409604,0.7696509786472554,2150,4,1,0.8361320184785428,0.1949938741940014,0.8571122534421253,3,0,114,3,2,2,1,1
742,0,2,2,1159643,43466,1,2,0.6483061272868593,192249,4.422974278746606,24,4,18609,18609,0.4469520637011812,2.2232760471786377,0.3184687156943304,0.1101193433476902,0.0056324050072428,0.7717249323667432,0.9516919012211832,0.8282764128104494,4638,0,1,0.8597965936877411,0.319506260397924,0.8397721491521196,3,0,311,3,5,3,0,0
659,0,1,3,768684,32784,1,4,0.5,112512,3.431918008784773,24,6,9526,9526,0.2724503457241424,1.9539104441190824,0.1159426847090104,0.2048307112407427,0.2884259397626945,0.9998879246838454,0.8294715399731343,0.977519633095733,3804,2,1,0.8480253012279724,0.1659422173244699,0.4966154408011485,1,1,62,3,5,3,0,0
841,1,2,4,250747,51913,3,4,6.2954081476696535,178342,3.435401537187217,24,7,13931,13931,0.248396048098382,0.4025115738511227,0.0711072997215323,0.1179124200052072,0.1155658541654779,0.7884076928372543,0.8260198958960654,0.8513119777940974,2748,1,1,0.8853107979992682,0.3932555734604665,0.8927048498945153,0,2,93,2,1,2,0,0
714,2,4,1,910829,25984,3,2,0.5,159376,6.133620689655173,36,0,12843,12843,0.4098840377512273,2.921121331075533,0.1163967742361394,0.2927753029370523,0.3230668401793899,0.969499348552956,0.8686211438386037,0.7610367098715543,1850,1,2,0.4915148608764992,0.2499500291425145,0.661893389523083,5,0,150,3,5,0,2,0
700,3,5,2,638510,30743,2,1,4.393395875862462,237703,7.731938977978727,48,4,14427,14427,0.4552586517986327,1.7307734009910114,0.4014870782741725,0.2357515166647249,0.2758049318333956,0.9661928537602767,0.5824162525479147,0.8953098929234484,1524,2,0,0.840947274836143,0.2791286404939184,0.6511454529429941,2,0,14,1,1,3,2,0
571,0,1,1,184553,61963,2,2,5.345103307043169,287892,4.646192082371738,24,0,15680,15680,0.2476235084160669,0.24820322880859,0.6081367218066226,0.4082813963106815,0.0305537385070678,0.922448015771834,0.6230659238143477,0.8228962046313334,1036,0,1,0.6093199173827577,0.2195010896184443,0.7013216855566721,0,0,34,1,1,1,1,0
705,0,2,1,897848,44458,2,4,4.386989004159961,233576,5.253857573440101,24,3,14174,14174,0.3829175222895116,1.682951699731582,0.4467650037094649,0.1101097029125599,0.2090453114852681,0.8312818458199591,0.7568923026366661,0.8756186490426077,1171,3,0,0.6992765125899779,0.2016603272651191,0.6573962268481462,1,1,120,1,2,2,0,1
588,3,4,2,139229,26304,3,1,3.209802059626399,146961,5.58702098540146,24,3,13151,13151,0.4506649903530485,0.4410894414030819,0.1313045745454295,0.1658912766309221,0.4326849977601459,0.7927757271446467,0.8154263950218147,0.9302822478893792,582,6,1,0.8052182099578514,0.575418759707803,0.6749826269141143,3,1,42,3,5,2,1,0
773,2,2,5,786761,79033,1,2,0.5,323230,4.089810585451647,36,2,11508,11508,0.0473768997916088,0.8295701373687785,0.3054859465892055,0.2648985218948135,0.2598499126081842,0.771495785954793,0.8844681413284089,0.8195816015879182,4044,3,0,0.9368676141538016,0.560727212482268,0.7954304974095046,1,2,8,3,5,3,2,0
597,1,2,2,373305,44627,1,1,8.19168414601212,215626,4.831738633562641,24,1,20587,20587,0.5465886670469436,0.697083604096175,0.2051336012519424,0.5852163290204314,0.4099028888893183,0.8755112245993151,0.9365082872597108,0.8038322673830478,1897,3,2,0.959553628051658,0.2322361727486003,0.8171413870386888,3,0,144,2,2,3,1,1
756,0,1,5,588792,102945,2,4,4.987610373595586,841129,8.170663946767691,24,3,43419,43419,0.4304380742541049,0.4766234397008111,0.3809559133359915,0.3931537360166595,0.130768365497501,0.8354952805460238,0.8006321262758289,0.8343663672467873,1507,1,1,0.8264562316438906,0.1849609187063949,0.7972298093571707,2,0,214,3,0,3,1,0
758,2,3,3,855790,71681,1,1,0.5,258240,3.602628311546993,48,5,32400,32400,0.4371048330025583,0.9949056700287848,0.3085218790901514,0.3461861442719468,0.1406473073648909,0.779984897671862,0.6465700537249762,0.878995171125039,3817,3,2,0.9272329650701738,0.7959641234304831,0.7969524221944727,4,1,52,3,1,0,1,0
626,2,4,1,664264,17658,1,1,0.5,151683,8.59004417261298,48,5,4918,4918,0.2749700005715577,3.1348586098840943,0.2112356751230669,0.0829891967795206,0.1154399516181812,0.8879777617889694,0.5168990534874895,0.8766026075621178,1918,3,2,0.8606689391466923,0.6464343609711568,0.5692594358002495,2,0,299,2,4,3,2,1
683,2,3,3,1104263,77625,1,1,11.893374836786291,349476,4.502106280193237,12,8,33891,33891,0.4299381550198178,1.185467525496511,0.2828441189945632,0.5014414774266239,0.7607137482765249,0.7610369739999724,0.9374061595110222,0.8520738491885034,622,2,1,0.4604377728214119,0.4511675058512033,0.7455624838052346,2,1,30,2,3,2,1,1
677,2,5,4,944352,64068,2,1,3.088574641167494,451592,7.048635824436536,48,5,28375,28375,0.4550081416391846,1.2283199100955235,0.1794541992913486,0.5881562934358143,0.0938713658350398,0.8896902223413354,0.7900384783507176,0.968038782492026,2389,1,2,0.5364050551143675,0.3549091943446769,0.3723279079323175,1,1,205,1,3,3,0,1
616,0,0,1,143729,76695,1,1,12.74592561650031,588604,7.674607210378773,24,1,38165,38165,0.4589449726346313,0.1561694591129365,0.2323051505493948,0.2452437436607754,0.0994795328018011,0.9912525895148128,0.8444740358940561,0.95536693813539,4865,3,0,0.8810683920444209,0.7008354700261819,0.6102275992526565,1,0,365,2,1,0,2,0
799,1,5,2,1060019,81635,2,4,0.6179409952180075,770297,9.435866968824646,48,5,10853,10853,0.1059025096079665,1.082071619607603,0.126393687125555,0.1261178950911496,0.2989044803300211,0.997530260441371,0.6196993060502523,0.8710098891570501,1675,1,2,0.7758131149089232,0.376567623450366,0.8780169237809043,2,0,88,4,3,0,3,1
800,0,1,4,774560,59488,2,1,7.85493562005943,475889,7.999747848305541,12,3,6564,6564,0.1122615824367962,1.0850367581136813,0.2311912284331379,0.3943547965115501,0.5725652651387214,0.8972818902977053,0.7240607583505205,0.9067525636615544,4648,2,2,0.842447025214797,0.4525582982066193,0.9627028136660408,1,2,41,4,3,3,1,0
